Minute,Stor_O4L23,Stor_O4L28,Stor_O4L32,Stor_O4L33,Stor_O4L47,Stor_O3L53,Stor_O3L55,Stor_O3L60,Stor_O3L66,Stor_O3L67,Stor_O3L68,Stor_O3L73,Stor_O2L84,Stor_O2L88,Stor_O2L89,Stor_O2L100,Stor_O2L110,Stor_O1L130
80,-0.000292352,-0.000292352,-0.000292352,-0.000292352,-0.000292352,-0.000292352,-0.000292352,-0.000292352,-0.000292352,-0.000292352,-0.000292352,-0.000292352,-0.000292352,-0.000292352,-0.000292352,-0.000292352,-0.000292352,-0.000292352
81,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988
82,-0.216264486,-0.216264486,-0.216264486,-0.216264486,-0.216264486,-0.216264486,-0.216264486,-0.216264486,-0.216264486,-0.216264486,-0.216264486,-0.216264486,-0.216264486,-0.216264486,-0.216264486,-0.216264486,-0.216264486,-0.216264486
83,-0.358942747,-0.358942747,-0.358942747,-0.358942747,-0.358942747,-0.358942747,-0.358942747,-0.358942747,-0.358942747,-0.358942747,-0.358942747,-0.358942747,-0.358942747,-0.358942747,-0.358942747,-0.358942747,-0.358942747,-0.358942747
84,-0.36818707,-0.36818707,-0.36818707,-0.36818707,-0.36818707,-0.36818707,-0.36818707,-0.36818707,-0.36818707,-0.36818707,-0.36818707,-0.36818707,-0.36818707,-0.36818707,-0.36818707,-0.36818707,-0.36818707,-0.36818707
85,-0.311292529,-0.311292529,-0.311292529,-0.311292529,-0.311292529,-0.311292529,-0.311292529,-0.311292529,-0.311292529,-0.311292529,-0.311292529,-0.311292529,-0.311292529,-0.311292529,-0.311292529,-0.311292529,-0.311292529,-0.311292529
86,-0.158363298,-0.158363298,-0.158363298,-0.158363298,-0.158363298,-0.158363298,-0.158363298,-0.158363298,-0.158363298,-0.158363298,-0.158363298,-0.158363298,-0.158363298,-0.158363298,-0.158363298,-0.158363298,-0.158363298,-0.158363298
87,0.026076695,0.026076695,0.026076695,0.026076695,0.026076695,0.026076695,0.026076695,0.026076695,0.026076695,0.026076695,0.026076695,0.026076695,0.026076695,0.026076695,0.026076695,0.026076695,0.026076695,0.026076695
88,0.104010478,0.104010478,0.104010478,0.104010478,0.104010478,0.104010478,0.104010478,0.104010478,0.104010478,0.104010478,0.104010478,0.104010478,0.104010478,0.104010478,0.104010478,0.104010478,0.104010478,0.104010478
89,0.146054134,0.146054134,0.146054134,0.146054134,0.146054134,0.146054134,0.146054134,0.146054134,0.146054134,0.146054134,0.146054134,0.146054134,0.146054134,0.146054134,0.146054134,0.146054134,0.146054134,0.146054134
90,0.190502182,0.190502182,0.190502182,0.190502182,0.190502182,0.190502182,0.190502182,0.190502182,0.190502182,0.190502182,0.190502182,0.190502182,0.190502182,0.190502182,0.190502182,0.190502182,0.190502182,0.190502182
91,0.199213415,0.199213415,0.199213415,0.199213415,0.199213415,0.199213415,0.199213415,0.199213415,0.199213415,0.199213415,0.199213415,0.199213415,0.199213415,0.199213415,0.199213415,0.199213415,0.199213415,0.199213415
92,0.170378864,0.170378864,0.170378864,0.170378864,0.170378864,0.170378864,0.170378864,0.170378864,0.170378864,0.170378864,0.170378864,0.170378864,0.170378864,0.170378864,0.170378864,0.170378864,0.170378864,0.170378864
93,0.12614435,0.12614435,0.12614435,0.12614435,0.12614435,0.12614435,0.12614435,0.12614435,0.12614435,0.12614435,0.12614435,0.12614435,0.12614435,0.12614435,0.12614435,0.12614435,0.12614435,0.12614435
94,0.078926004,0.078926004,0.078926004,0.078926004,0.078926004,0.078926004,0.078926004,0.078926004,0.078926004,0.078926004,0.078926004,0.078926004,0.078926004,0.078926004,0.078926004,0.078926004,0.078926004,0.078926004
95,-0.001290526,-0.001290526,-0.001290526,-0.001290526,-0.001290526,-0.001290526,-0.001290526,-0.001290526,-0.001290526,-0.001290526,-0.001290526,-0.001290526,-0.001290526,-0.001290526,-0.001290526,-0.001290526,-0.001290526,-0.001290526
96,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988
97,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05,-4.46562E-05
98,-0.000113925,-0.000113925,-0.000113925,-0.000113925,-0.000113925,-0.000113925,-0.000113925,-0.000113925,-0.000113925,-0.000113925,-0.000113925,-0.000113925,-0.000113925,-0.000113925,-0.000113925,-0.000113925,-0.000113925,-0.000113925
